accession_count	accession	experiment_type	organism	_assay_groups_developmental_stage	_assay_groups_organism_part	_assay_groups_age	_assay_groups_genotype	_assay_groups_disease	_assay_groups_sex
135	E-GEOD-108730	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	root meristem	6 day			
136	E-GEOD-10879	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
137	E-GEOD-108912	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	4 day			
138	E-GEOD-10927	microarray_1colour_mrna_differential	Homo sapiens		adrenal gland	47 year, 51 year, 19 year, 31 year, 34 year, 40 year, 39 year, 55 year, 61 year, 45 year, 71 year, 87 year, 50 year, 35 year, 77 year, 32 year, 48 year, 60 year, 52 year, <10 year, 25 year, 49 year, 41 year, 33 year; 51 year, 44 year, 55 year, 45 year, 71 year, 38 year, 59 year, 28 year, 32 year, 56 year, 48 year, 64 year, 52 year, 25 year, 57 year, 49 year, 33 year, 62 year, 54 year		adrenocortical adenoma; adrenocortical carcinoma	female, male
139	E-GEOD-109341	rnaseq_mrna_differential	Oryza sativa Japonica Group	LP.03 three leaves visible stage	leaf; root	6 day			
140	E-GEOD-10940	microarray_1colour_mrna_differential	Drosophila melanogaster		abdomen; head/thorax	4 day			female
141	E-GEOD-10964	microarray_1colour_mrna_differential	Mus musculus		lung				male
142	E-GEOD-109644	rnaseq_mrna_differential	Zea mays		anther				
143	E-GEOD-10979	microarray_1colour_mrna_differential	Homo sapiens		amnion				female
144	E-GEOD-110315	rnaseq_mrna_baseline	Zea mays	whole plant flowering stage	caryopsis fruit	5 day	wild type genotype		
145	E-GEOD-11046	microarray_1colour_mrna_differential	Drosophila melanogaster	3rd instar larva	midgut				
146	E-GEOD-11047	microarray_1colour_mrna_differential	Drosophila melanogaster	3rd instar larva	midgut				
147	E-GEOD-11083	microarray_1colour_mrna_differential	Homo sapiens		blood			juvenile dermatomyositis; rheumatoid factor-negative juvenile idiopathic arthritis	
148	E-GEOD-11100	microarray_1colour_mrna_differential	Homo sapiens		brain			glioblastoma multiforme	
149	E-GEOD-1112	microarray_1colour_mrna_differential	Mus musculus						
150	E-GEOD-111250	rnaseq_mrna_differential	Zea mays	seedling developmental stage	root	7 day			
151	E-GEOD-111290	rnaseq_mrna_differential	Arabidopsis thaliana		rosette	20 day			
152	E-GEOD-11151	microarray_1colour_mrna_differential	Homo sapiens	adult	kidney			Kidney Oncocytoma; chromophobe renal cell carcinoma; clear cell renal carcinoma; papillary renal cell carcinoma	
153	E-GEOD-11164	microarray_1colour_mrna_differential	Drosophila melanogaster						
154	E-GEOD-11166	microarray_1colour_mrna_differential	Homo sapiens	adult	kidney			normal	
155	E-GEOD-111716	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	apical hook	45 hour			
156	E-GEOD-11175	microarray_1colour_mrna_differential	Oryza sativa Japonica Group		shoot	25 day			
157	E-GEOD-111792	rnaseq_mrna_differential	Zea mays	seedling development stage	seedling aerial portion	7 day			
158	E-GEOD-111812	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	10 day			
159	E-GEOD-11199	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood			latent tuberculosis; meningeal tuberculosis; pulmonary tuberculosis	
160	E-GEOD-112057	rnaseq_mrna_differential	Homo sapiens		blood			Crohn disease; oligoarticular juvenile idiopathic arthritis; polyarticular juvenile idiopathic arthritis; systemic-onset juvenile idiopathic arthritis; ulcerative colitis (disease)	female, male
161	E-GEOD-11216	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	4 day			
162	E-GEOD-11227	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood			renal disease	
163	E-GEOD-11231	microarray_1colour_mrna_differential	Drosophila melanogaster	embryo		1 to 2 hour			
164	E-GEOD-112368	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	11 day			
165	E-GEOD-112441	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	8 day			
166	E-GEOD-11258	microarray_1colour_mrna_differential	Mus musculus	embryonic day 16.5	hippocampus				
167	E-GEOD-11281	microarray_1colour_mrna_differential	Homo sapiens						
168	E-GEOD-11285	microarray_1colour_mrna_differential	Homo sapiens					glioblastoma	
169	E-GEOD-113048	rnaseq_mrna_differential	Zea mays	whole plant flowering stage	kernel	15 day			
170	E-GEOD-11324	microarray_1colour_mrna_differential	Homo sapiens						
171	E-GEOD-11336	microarray_1colour_mrna_differential	Homo sapiens		blood			childhood T acute lymphoblastic leukemia	
172	E-GEOD-113366	rnaseq_mrna_baseline	Sus scrofa	embryo	embryo	10 day; 12 day; 8 day			female; male
173	E-GEOD-11348	microarray_1colour_mrna_differential	Homo sapiens		nose	22 year, 18 year, 19 year, 20 year, 21 year; 22 year, 18 year, 20 year, 19 year, 21 year			female, male
174	E-GEOD-11352	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
175	E-GEOD-113557	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	3 week			
176	E-GEOD-113769	rnaseq_mrna_baseline	Oryza sativa	5 days after fertilization	endosperm				
177	E-GEOD-11408	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood				
178	E-GEOD-114103	rnaseq_mrna_differential	Gallus gallus		uterus	35 to 60 week		normal	
179	E-GEOD-114188	rnaseq_mrna_differential	Oryza sativa Indica Group	seedling development stage	leaf	45 day			
180	E-GEOD-11428	microarray_1colour_mrna_differential	Homo sapiens					prostate cancer	
181	E-GEOD-114363	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	1 week			
182	E-GEOD-114379	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	9 day			
183	E-GEOD-1147	microarray_1colour_mrna_differential	Homo sapiens		hypothalamus				female
184	E-GEOD-1148	microarray_1colour_mrna_differential	Mus musculus		hypothalamus; kidney; liver				female
185	E-GEOD-11505	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	leaf	2 week			
186	E-GEOD-115371	rnaseq_mrna_differential	Oryza sativa	seedling development stage	coleoptile; plant embryo coleoptile	1 hour; 12 hour; 24 hour; 3 hour; 48 hour; 72 hour; 96 hour			
187	E-GEOD-11538	microarray_1colour_mrna_differential	Arabidopsis thaliana		vegetative rosette	4 week			
188	E-GEOD-115498	rnaseq_mrna_differential	Zea mays	seedling developmental stage	tassel inflorescence				
189	E-GEOD-1155	microarray_1colour_mrna_differential	Rattus norvegicus		hippocampus				
190	E-GEOD-115796	rnaseq_mrna_baseline	Zea mays	inflorescence emergence stage; stem elongation stage; whole plant inflorescence detectable stage	stem				
191	E-GEOD-11594	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling					
192	E-GEOD-115951	rnaseq_mrna_differential	Arabidopsis thaliana		leaf	35 day			
193	E-GEOD-116066	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	10 day			
194	E-GEOD-116422	rnaseq_mrna_differential	Oryza sativa Indica Group	seedling development stage	panicle inflorescence				
195	E-GEOD-116423	rnaseq_mrna_differential	Oryza sativa Japonica Group	2 formation of axillary shoot stage	tiller				
196	E-GEOD-116496	rnaseq_mrna_differential	Zea mays	LP.04 four leaves visible stage	leaf	22 day			
197	E-GEOD-116517	rnaseq_mrna_differential	Arabidopsis thaliana		root tip	1 week			
198	E-GEOD-116582	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	2 week			
199	E-GEOD-116969	rnaseq_mrna_baseline	Drosophila melanogaster	adult	appendage; head; optic lobe; optic lobe lamina		P{CCAP-GAL4.P}9; P{Crz-GAL4.391}4M; P{GawB}how[24B]; P{GawB}how[24B],R10F02-GAL4 in attP2; P{Ilp2-GAL4.R}2,w[*]; P{w[+mW.hs]=GawB}Kdm2[36Y],R23E12-p65ADZp_attP40; R11D03-p65ADZp_attP40; R11G01-p65ADZp_attP40,R52H01-p65ADZp_attP40; R13E12-p65ADZp_attP40; R13F02-p65ADZp_attP40; R19F01-p65ADZp_attP40; R19G02-p65ADZp_attP40; R19G04-p65ADZp_attP40; R20C11-p65ADZp_attP40; R24A02-p65ADZp_attP40,R30C01-p65ADZp_attP40,R65B12-p65ADZp_attP40,VT016127-p65ADZp_attP40,R16D01-p65ADZp_attP40,R19G02-p65ADZp_attP40; R24A07-p65ADZp_attP40,VT055812-p65ADZp_attP40; R24C08-p65ADZp_attP40; R26A02-p65ADZp_attP40; R26A03-p65ADZp_attP40,R92B02-p65ADZp_VK00027; R26A08-p65ADZp_attP40; R26E07-p65ADZp_ attP40,R19B03-p65ADZp_attP40; R26E07-p65ADZp_attP40; R26H02-p65ADZp_attP40; R28D04-p65ADZp_attP40; R28D05-p65ADZp_attP40; R30G08-p65ADZp_attP40; R31C06-p65ADZp_Su(Hw)attP2; R31F10-p65ADZp_attP40; R35B12-p65ADZp_attP40; R35D04-p65ADZp_attP40; R35E04-p65ADZp_attP40; R37D04-p65ADZp_attP40,R42B05-p65ADZp_attP40; R38A07-p65ADZp_attP40,R42B05-p65ADZp_attP40; R41E03-p65ADZp_attP40; R41G07-p65ADZp_attP40; R47E07-p65ADZp_attP40,R91B01-p65ADZp_attP40_; R48A07-p65ADZp_attP40; R49C04-p65ADZp_attP40; R52B07-p65ADZp_attP40; R52H09-p65ADZp_attP40; R53C02-p65ADZp_attP40; R53D12-p65ADZp_attP40,R12C04-p65ADZp_attP40; R53E04-p65ADZp_attP40,R26H07-p65ADZp_attP40; R53G02-p65ADZp_attP40; R54D12-p65ADZp_attP40; R55F02-p65ADZp_attP40; R58E02-p65ADZp_attP40; R58E02-p65ADZp_attP40_; R59E08-p65ADZp_attP40,VT055812-p65ADZp_attP40; R61G12-p65ADZp_attP40; R64B03-p65ADZp_attP40; R64B07-p65ADZp_attP40; R64G09-p65ADZp_attP40; R65H03-p65ADZp_attP40; R66A01-p65ADZp_attP40,R48A08-p65ADZp_attP40; R70B07-p65ADZp_attP40; R71D01-p65ADZp_attP40; R73F07-p65ADZpattP40; R75H09-p65ADZp_attP40,R48A08-p65ADZp_attP40; R76F05-p65ADZp_attP40; R80G12-p65ADZp_attP40,R93D10-p65ADZp_VK00027; R81A05-p65ADZp_attP40; R84F02-p65ADZp_attP40; R93D10-p65ADZp_attP40; VT000848-p65ADZp_attP40; VT015785-p65ADZp_attP40; VT043162-p65ADZp_attP40; VT043920-p65ADZp_attP40; VT046779-p65ADZp_attP40,R48A07-p65ADZp_attP40; VT048351-p65ADZp_attP40; VT058487-p65ADZp_attP40; VT061221-p65ADZp_attP40; ninaEfl-GAL4 in attP2; w*; Mi{Trojan-lexAQFAD.2}Gad1MI09277-TlexAQFAD.2/TM6B, Tb1; w[*]; Mi{Trojan-GAL4.0}ChAT[MI04508-TG4.0]/TM6B, Tb[1]; w[*]; Mi{Trojan-GAL4.2}VGlut[MI04979-TG4.2]/CyO; w[*]; wg[Sp-1]/CyO; P{w[+mC]=Rh6-GAL4.D}3/TM2; w[1118]; P{w[+mC]=Dsk-GAL4.TH}3M; y1 w*; P{Rh3-GAL4}2,w*; CyO/wgSp-1; P{Pan-R7-GAL4}3/TM2; y[1] w[*]; P{w[+mC]=NPF-GAL4.1}2; y[1] w[*]; P{w[+mC]=Pdf-GAL4.P2.4}2; y[1] w[*]; P{w[+mC]=Rh5-GAL4}2; TM2/TM6B, Tb[1]		mixed
200	E-GEOD-117052	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	rosette	3 week			
201	E-GEOD-11755	microarray_1colour_mrna_differential	Homo sapiens	child	blood; peripheral blood			meningococcal sepsis	
202	E-GEOD-11758	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf	5 week			
203	E-GEOD-11759	microarray_1colour_mrna_differential	Mus musculus	adult	colonic epithelium				female, male
204	E-GEOD-11761	microarray_1colour_mrna_differential	Homo sapiens	early pubertal; early puberty; late pubertal; late puberty	peripheral blood	12 year, 9 year, 10 year, 11 year, 8 year; 17 year, 18 year, 16 year, 15 year, 19 year		normal	male
205	E-GEOD-11783	microarray_1colour_mrna_differential	Homo sapiens		bladder			interstitial cystitis	
206	E-GEOD-11791	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
207	E-GEOD-11807	microarray_1colour_mrna_differential	Arabidopsis thaliana		leaf	6 week			
208	E-GEOD-118102	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	root	5 day			
209	E-GEOD-118371	rnaseq_mrna_differential	Arabidopsis thaliana	whole plant flowering stage	endosperm	7 day			
210	E-GEOD-11839	microarray_1colour_mrna_differential	Homo sapiens		bladder	29 year, 37 year, 39 year; 47 year, 56 year, 57 year		interstitial cystitis; normal	female
211	E-GEOD-118498	rnaseq_mrna_differential	Zea mays	LP.12 twelve leaves visible stage	caryopsis fruit	15 day			
212	E-GEOD-11852	microarray_1colour_mrna_differential	Arabidopsis thaliana	seed	whole organism				
213	E-GEOD-11886	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood			ankylosing spondylitis; normal	
214	E-GEOD-11903	microarray_1colour_mrna_differential	Homo sapiens		skin			psoriasis	
215	E-GEOD-11919	microarray_1colour_mrna_differential	Homo sapiens						
216	E-GEOD-11940	microarray_1colour_mrna_differential	Homo sapiens		liver	76 year, 67 year, 69 year, 57 year, 72 year			female, male
217	E-GEOD-11941	microarray_1colour_mrna_differential	Homo sapiens			43 year, 65 year, 63 year, 60 year			female, male
218	E-GEOD-11959	microarray_1colour_mrna_differential	Homo sapiens						
219	E-GEOD-11971	microarray_1colour_mrna_differential	Homo sapiens		skeletal muscle organ			juvenile dermatomyositis	female
220	E-GEOD-120135	rnaseq_mrna_differential	Zea mays	LP.04 four leaves visible stage	leaf	14 day			
221	E-GEOD-12054	microarray_1colour_mrna_differential	Drosophila melanogaster	3rd instar larva					male
222	E-GEOD-120674	rnaseq_mrna_differential	Zea mays	LP.12 twelve leaves visible stage	caryopsis fruit	15 day			
223	E-GEOD-120683	microarray_1colour_mrna_differential	Homo sapiens		kidney			methylmalonic acidemia	
224	E-GEOD-120774	microarray_1colour_mrna_differential	Homo sapiens	adult	epicardial fat; subcutaneous adipose tissue	50 to 78 year, 52 to 78 year, 51 to 78 year; 52 to 78 year		coronary artery disease	female, male
225	E-GEOD-12108	microarray_1colour_mrna_differential	Homo sapiens	adult	peripheral blood				
226	E-GEOD-12113	microarray_1colour_mrna_differential	Homo sapiens		pancreas			pancreatic cancer	
227	E-GEOD-121146	rnaseq_mrna_differential	Vitis vinifera	E-L 36; E-L 37; E-L 38	berry fruit				
228	E-GEOD-12121	microarray_1colour_mrna_differential	Homo sapiens		gum				
229	E-GEOD-12160	microarray_1colour_mrna_differential	Drosophila melanogaster	3rd instar larva; adult; third instar larva stage	whole organism				
230	E-GEOD-12198	microarray_1colour_mrna_differential	Homo sapiens					normal	
231	E-GEOD-122411	rnaseq_mrna_differential	Vitis vinifera	E-L 35; E-L 36; E-L 38	pericarp	7 year			
232	E-GEOD-122495	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	4 day			
233	E-GEOD-12251	microarray_1colour_mrna_differential	Homo sapiens		colon			ulcerative colitis	
234	E-GEOD-122610	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	5 day			
235	E-GEOD-12264	microarray_1colour_mrna_differential	Homo sapiens		trabecular bone				male
236	E-GEOD-12265	microarray_1colour_mrna_differential	Homo sapiens		bone marrow				male
237	E-GEOD-122866	rnaseq_mrna_differential	Zea mays	LP.03 three leaves visible stage	leaf				
238	E-GEOD-123147	rnaseq_mrna_differential	Zea mays		ear infructescence	6 week			
239	E-GEOD-123258	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	shoot	13 day			
240	E-GEOD-12355	microarray_1colour_mrna_differential	Homo sapiens						
241	E-GEOD-123583	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	4 day			
242	E-GEOD-123984	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	root	5 day			
243	E-GEOD-124235	rnaseq_mrna_differential	Arabidopsis thaliana	seedling developmental stage	whole organism	12 day			
244	E-GEOD-12444	microarray_1colour_mrna_differential	Homo sapiens						
245	E-GEOD-12446	microarray_1colour_mrna_differential	Homo sapiens	postmenopausal	endometrium				female
246	E-GEOD-12452	microarray_1colour_mrna_differential	Homo sapiens		nasopharynx			nasopharyngeal carcinoma	
247	E-GEOD-12477	microarray_1colour_mrna_differential	Drosophila melanogaster		animal ovary	6-8 day			female
248	E-GEOD-12513	microarray_1colour_mrna_differential	Homo sapiens		pancreas			pancreatic cancer	
249	E-GEOD-12606	microarray_1colour_mrna_differential	Homo sapiens	adult	kidney			clear cell renal cell carcinoma	male
250	E-GEOD-12665	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
251	E-GEOD-12685	microarray_1colour_mrna_differential	Homo sapiens		frontal cortex			Alzheimers disease	
252	E-GEOD-12729	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling	whole organism	7 day			
253	E-GEOD-12734	microarray_1colour_mrna_differential	Homo sapiens		peripheral blood	68 year, 73 year, 69 year, 67 year, 57 year, 61 year, 74 year		chronic lymphocytic leukemia	female, male
254	E-GEOD-12764	microarray_1colour_mrna_differential	Homo sapiens		mammary gland				
255	E-GEOD-12773	microarray_1colour_mrna_differential	Homo sapiens	adult	peripheral blood			atopy	
256	E-GEOD-12791	microarray_1colour_mrna_differential	Homo sapiens					breast cancer	
257	E-GEOD-12834	microarray_1colour_mrna_differential	Drosophila melanogaster		whole organism				female
258	E-GEOD-128441	rnaseq_mrna_differential	Sorghum bicolor		leaf; root	105 day; 119 day; 21 day; 28 day; 35 day; 42 day; 56 day; 63 day; 70 day; 77 day; 84 day; 91 day			
259	E-GEOD-12854	microarray_1colour_mrna_differential	Homo sapiens					ovarian carcinoma	
260	E-GEOD-12856	microarray_1colour_mrna_differential	Arabidopsis thaliana	Boyes key 3.90	rosette leaf				
261	E-GEOD-12886	microarray_1colour_mrna_differential	Homo sapiens					hepatoma	
262	E-GEOD-1294	microarray_1colour_mrna_differential	Mus musculus		brain			Down syndrome	
263	E-GEOD-12949	microarray_1colour_mrna_differential	Homo sapiens		tumor			glioblastoma multiforme	
264	E-GEOD-12963	microarray_1colour_mrna_differential	Homo sapiens						
265	E-GEOD-12964	microarray_1colour_mrna_differential	Arabidopsis thaliana	seedling		10 day			
266	E-GEOD-1297	microarray_1colour_mrna_differential	Homo sapiens		hippocampus			incipient Alzheimer's disease; moderate Alzheimer's disease; severe Alzheimer's disease	
267	E-GEOD-1301	microarray_1colour_mrna_differential	Mus musculus		lung				
268	E-GEOD-130127	rnaseq_mrna_differential	Mus musculus	adult	liver	6 month			
269	E-GEOD-13032	microarray_1colour_mrna_differential	Mus musculus		lung	16 week			male
270	E-GEOD-13044	microarray_1colour_mrna_differential	Mus musculus	embryonic day 17.5	liver; lung				
271	E-GEOD-130856	microarray_1colour_mrna_differential	Homo sapiens		placenta			villitis of unknown etiology	
272	E-GEOD-13142	microarray_1colour_mrna_differential	Homo sapiens					hepatocellular carcinoma	
273	E-GEOD-13274	microarray_1colour_mrna_differential	Homo sapiens		mammary gland				
274	E-GEOD-13276	microarray_1colour_mrna_differential	Homo sapiens		brain				
275	E-GEOD-13284	microarray_1colour_mrna_differential	Homo sapiens						
276	E-GEOD-13309	microarray_1colour_mrna_differential	Homo sapiens					lung cancer	
277	E-GEOD-13316	microarray_1colour_microrna_differential	Homo sapiens		lung			idiopathic pulmonary fibrosis	
278	E-GEOD-13355	microarray_1colour_mrna_differential	Homo sapiens		skin			psoriasis	
279	E-GEOD-13396	microarray_1colour_mrna_differential	Homo sapiens					asthma; normal	
